"V1" "V2" "V3" "V4"
216.241666666667 141.26 207.294444444444 170.504285714286
256.651666666667 238.927142857143 197.886 224.62
297.928333333333 328.425 235.613333333333 384.028333333333
171.631666666667 176.987142857143 158.872 146.976666666667
172.88 182.297142857143 185.645 183.543
135.895 161.915 134.326666666667 149.246
159.178 183.821666666667 139.234 172.12
192.415 195.295 299.1225 209.716666666667
150.342 200.736 198.136666666667 157.51625
214.853333333333 298.476 216.746 331.571428571429
147.113333333333 139.22 179.431428571429 203.298888888889
185.078 214.725714285714 267.164 240.641666666667
256.961666666667 213.435714285714 245.356666666667 241.718571428571
139.718 303.9 234.467777777778 382.473333333333
199.98 237.856666666667 233.992857142857 399.96
309.363333333333 231.345 247.16 259.877142857143
161.24 173.882857142857 161.1475 146.78875
236.618333333333 206.85 237.85 229.855
103.118571428571 181.66 188.11875 293.028571428571
191.855 203.795 154.135 192.066666666667
236.165 200.67 244.795 244.268333333333
173.746666666667 185.178888888889 169.432 187.24125
123.718888888889 167.481428571429 196.271428571429 179.73
222.805714285714 196.66 169.565 202.345714285714
147.541666666667 176.225 234.155 162.04
131.0475 173.22 207.542 144.97375
199.4075 453.596 434.833333333333 613.045555555556
102.142857142857 153.752857142857 183.221428571429 176.17
195.9575 179.052857142857 254.738571428571 224.965714285714
121.506666666667 170.494285714286 145.9125 179.076666666667
216.125 171.615 173.834 192.36125
271.385 488.651428571429 397.59 694.604285714286
219.24 271.596666666667 255.0375 336.571428571429
216.53 246.7 175.469 199.735454545455
280.01875 271.51 214.8475 293.684
205.8 360.02375 350.093333333333 567.065
153.22 193.4975 232.846666666667 349.455
199.307777777778 171.14875 166.316 204.532857142857
155.586666666667 176.106666666667 205.567142857143 198.373333333333
203.742 187.382 226.7875 217.208333333333
273.77 218.472 214.946666666667 232.5925
206.255 175.32 257.552 280.325
135.9625 220.092857142857 210.734285714286 181.185
219.918571428571 172.785 224.38125 174.448
229.685 325.31 329.536 477.871666666667
221.003333333333 184.065 247.63875 188.99
270.688 488.903333333333 183.696666666667 522.435
204.746 449.442 264.8 526.898888888889
181.953333333333 376.606666666667 331.806666666667 542.26
131.583 186.514285714286 186.162857142857 167.289090909091
138.604285714286 147.574 157.076666666667 132.214285714286
123.714285714286 167.523333333333 185.883333333333 137.868571428571
102.754444444444 138.12 154.542 149.14125
181.062857142857 154.631428571429 149.985714285714 163.895714285714
117.6025 150.233333333333 147.397 127.993333333333
217.182857142857 189.12 173.545714285714 197.90875
105.879 139.06875 177.61 185.17
284.341666666667 217.912 211.695 234.7825
189.652 302.4 325.236666666667 503.898571428571
159.926 185.461666666667 198.08 151.232222222222
309.953333333333 235.265 267.025 275.918333333333
163.885714285714 208.253333333333 167.6125 203.723333333333
195.38 183.052222222222 190.563333333333 212.858571428571
