"V1" "V2" "V3" "V4"
219.871428571429 163.276666666667 227.71875 184.61375
297.16 285.93 213.962 256.381111111111
315.064444444444 361.824444444444 300.548 391.03
181.901666666667 186.504285714286 175.482857142857 153.632222222222
186.774444444444 193.645 191.554444444444 207.955
141.6 172.345 152.26 164.171
165.331666666667 165.583333333333 152.462 185.862
205.236 232.47 279.632 230.284285714286
151.081666666667 186.48625 216.223333333333 175.655555555556
219.117142857143 328.697142857143 245.058333333333 331.20875
150.641428571429 146.634 202.725 210.191
212.236363636364 246.676666666667 290.6125 247.632857142857
243.724444444444 222.83375 262.477272727273 247.543333333333
163.754 310.524285714286 249.988888888889 402.09375
229.081666666667 280.656666666667 255.772857142857 356.496666666667
357.201666666667 242.458888888889 292.225 274.571111111111
172.1175 195.93875 176.093333333333 157.215555555556
231.581428571429 246.88 269.492222222222 239.642
121.88 222.318333333333 200.67 303.02625
204.562 216.66 178.605 201.1975
256.057142857143 226.1075 296.4525 273.445
165.69875 180.381666666667 212.94 200.938888888889
152.566 174.72 211.1 199.9075
217.052857142857 215.92 185.437142857143 219.084285714286
153.288571428571 186.4075 237.651111111111 152.53
129.465 177.25 228.932857142857 171.92875
189.318 512.671666666667 429.2625 604.94125
110.045 182.598333333333 184.28125 196.705714285714
221.074285714286 194.42125 291.105 229.53
131.643333333333 191.65 157.16125 185.458571428571
235.305 192.438333333333 211.528333333333 197.605555555556
288.28 641.127142857143 362.502 717.054285714286
242.298 281.915 261.203333333333 329.694444444444
218.82 270.7325 198.86 220.494545454545
311.32 289.825 250.3075 305.41375
198.112 420.15375 368.665 598.405
160.05 276.506 274.887142857143 320.942
211.475714285714 186.79 191.3875 211.021428571429
166.004285714286 207.63 225.006666666667 214.522727272727
220.1725 181.55 267.64875 215.528888888889
307.348888888889 239.808 246.233333333333 263.4825
203.69375 203.108571428571 284.73 287.86
149.526666666667 220.53 232.731428571429 191.562222222222
248.58875 184.945 242.351111111111 205.155714285714
232.105 348.459 312.251111111111 461.61
238.111111111111 177.798571428571 277.90375 221.906666666667
266.786666666667 542.221666666667 255.58 635.3425
199.882 517.648571428571 271.958333333333 522.202222222222
219.173333333333 470.863333333333 319.621666666667 525.1425
141.635 193.628 201.921428571429 179.77
155.044444444444 145.974 159.871428571429 145.221666666667
142.645555555556 171.035 197.587142857143 144.4075
123.036666666667 146.76 178.97 166.26625
186.742222222222 147.378 158.534 174.31
130.167142857143 156.076 162.710909090909 148.02
242.364444444444 217.007142857143 203.481428571429 207.781111111111
134.012 163.648888888889 202.346666666667 191.02
266.388888888889 213.084 241.19375 222.51
200.235 373.075 343.66375 482.05
169.694285714286 185.908571428571 204.227142857143 182.761111111111
319.22 233.357142857143 320.0375 271.45875
179.876 217.925 190.215 218.255454545455
214.492857142857 200.3 207.571666666667 230.578571428571
