"V1" "V2" "V3" "V4"
216.241666666667 137.7575 207.968571428571 173.05
256.651666666667 259.85 190.852222222222 229.453333333333
295.76 337.06375 235.613333333333 373.05875
174.52 178.055 158.872 149.768571428571
174.12375 176.44 181.168333333333 185.54375
129.4225 159.1 144.37 145.985
149.99 154.575 138.066 171.299
193.497142857143 218.554 258.446 215.598
142.485 163.508571428571 198.136666666667 168.67875
214.853333333333 294.396666666667 236.22 313.35625
141.49 133.341111111111 191.66 203.298888888889
195.90125 226.106666666667 267.1 231.555
260.798333333333 206.56875 245.356666666667 245.691428571429
152.452 261.208571428571 233.735 392.111428571429
197.668571428571 242.228 233.992857142857 346.9375
314.628 214.764444444444 260.078 272.433333333333
161.24 183.004285714286 160.627142857143 146.78875
228.393333333333 227.035 237.85 229.855
113.275714285714 190.64 187.862857142857 302.735
181.09 203.795 149.962857142857 185.190833333333
241.183333333333 212.87 273.275 256.92
173.746666666667 173.858333333333 174.5925 187.24125
131.722222222222 178.191666666667 193.901666666667 190.054285714286
221.863333333333 197.018 169.348 204.51
148.616 173.787142857143 226.298571428571 147.698
128.176 160.24375 209.418571428571 148.52875
183.432 441.824 456.066666666667 586.015714285714
102.271666666667 153.103333333333 176.01 188.33
203.664285714286 184.231428571429 279.164 223.591428571429
117.67 185.31 142.73625 175.754285714286
219.415 184.176666666667 185.806 192.084285714286
271.385 576.818333333333 401.12 645.885714285714
219.24 267.9425 251.02 311.73625
216.53 246.7 178.515555555556 197.793636363636
288.4675 262.418333333333 214.8475 279.536666666667
192.592 358.745555555556 332.85 567.065
142.97 232.0925 255.715 326.63375
195.53125 178.285714285714 162.235714285714 203.522857142857
151.124285714286 193.746 212.118333333333 198.373333333333
198.09 175.883333333333 235.906666666667 197.298571428571
273.885555555556 218.472 203.841666666667 250.561428571429
208.345 180.083333333333 257.552 329.38
141.574 203.35125 210.734285714286 180.274444444444
219.918571428571 172.785 228.04375 200.582
229.685 323.082222222222 312.631666666667 455.175
216.347142857143 172.576666666667 249.581428571429 210.96
270.688 488.903333333333 230.93 597.4075
197.3775 460.535 253.485 499.346666666667
200.293333333333 348.74 321.546 494.795714285714
128.398181818182 181.007 186.162857142857 167.755
145.225 136.316 148.066 131.625
124.826666666667 162.29625 185.883333333333 133.25875
103.402857142857 142.156666666667 159.705 163.027142857143
171.87 135.392 155.724285714286 163.625714285714
111.007142857143 143.544 151.151111111111 136.25
215.5125 210.508333333333 178.186666666667 198.11875
116.707777777778 156.904285714286 185.353333333333 178.292
265.4825 194.5325 209.808571428571 220.28
189.652 314.346 331.735714285714 462.434444444444
169.33 176.532857142857 190.838333333333 165.912857142857
309.953333333333 224.058333333333 284.7325 257.79
173.08 208.253333333333 174.404444444444 193.973636363636
195.38 185.126666666667 179.05 212.858571428571
